product_name,total_sales,num_orders
Canon imageCLASS 2200 Advanced Copier,61599.824,5
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,10
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,1
HON 5400 Series Task Chairs for Big and Tall,21870.576,8
GBC DocuBind TL300 Electric Binding System,19823.479,11
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,9
Hewlett Packard LaserJet 3310 Copier,18839.686,8
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,3
GBC DocuBind P400 Electric Binding System,17965.068,6
High Speed Automatic Electric Letter Opener,17030.311999999998,3
